,Mission Area,Office/Division/National Program,Program,Program Category,URL,Domain,Description,Notes,Program Types,Cost/Budget,KPI,Inactive?,Broken Link on portal,Not a program?,Reviewed By
Farm Service Agency (FSA),Farm Production and Conservation (FPAC),,Feedstock Flexibility Program for Bioenergy Producers,Benefits & Financial Assistance Programs,https://www.fsa.usda.gov/programs-and-services/energy-programs/index,fsa.usda.gov,Feedstock Flexibility Program for Bioenergy Producers will encourage the domestic production of biofuels from surplus sugar.,,Benefits & Financial Assistance,,,,,,Christopher Alvares
Farm Service Agency (FSA),Farm Production and Conservation (FPAC),,Direct Operating Loans,Farm Loan Programs,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/index,fsa.usda.gov,"Direct Operating Loans are used to purchase items such as livestock and feed; farm equipment; fuel, farm chemicals, insurance, and family living expenses; make minor improvements or repairs to buildings and fencing; and general farm operating expenses.",,Loans,,,,,,Christopher Alvares
Farm Service Agency (FSA),Farm Production and Conservation (FPAC),,Microloans,Farm Loan Programs,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/index,fsa.usda.gov,"Microloans are operating loans designed to meet the needs of small and beginning farmers, non-traditional, specialty crop and niche type operations by easing some requirements and offering less paperwork.",,Loans,,,,,,Christopher Alvares
Farm Service Agency (FSA),Farm Production and Conservation (FPAC),,Direct Farm Ownership Loans,Farm Loan Programs,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/index,fsa.usda.gov,"Direct Farm Ownership Loans are used to purchase or enlarge a farm or ranch, construct a new or improve existing farm or ranch buildings, and for soil and water conservation and protection purposes.",,Loans,,,,,,Christopher Alvares
Farm Service Agency (FSA),Farm Production and Conservation (FPAC),,Farm Storage Facility Loan Program,Farm Loan Programs,https://www.fsa.usda.gov/programs-and-services/price-support/facility-loans/farm-storage/index,fsa.usda.gov,provides low-interest financing so producers can build or upgrade facilities to store commodities.,,Loans,$0,,,,,Christopher Alvares
Farm Service Agency (FSA),Farm Production and Conservation (FPAC),,Sugar Storage Facility Loan Program,Farm Loan Programs,https://www.fsa.usda.gov/programs-and-services/price-support/facility-loans/farm-storage/index,fsa.usda.gov,oans to processors of domestically produced sugarcane and sugar beets for the construction or upgrading of storage and handling facilities for raw sugars and refined sugars,,Loans,,,,,,Christopher Alvares
Farm Service Agency (FSA),Farm Production and Conservation (FPAC),,Guaranteed Loans,Farm Loan Programs,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/index,fsa.usda.gov,"Guaranteed Loans enables lenders to extend credit to family farm operators and owners who do not qualify for standard commercial loans. Farmers receive credit at reasonable terms to finance their current operations or to expand their business; financial institutions receive additional loan business and servicing fees, as well as other benefits from the program, such as protection from loss.",,Loans,,,,,,Christopher Alvares
Farm Service Agency (FSA),Farm Production and Conservation (FPAC),,Youth Loans,Farm Loan Programs,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/index,fsa.usda.gov,"Youth Loans are used by young people participating in 4-H clubs, FFA , or a similar organization, to finance educational, income-producing, agriculture-related projects.",,Loans,,,,,,Christopher Alvares
Farm Service Agency (FSA),Farm Production and Conservation (FPAC),,Minority and Women Farmers and Ranchers loans,Farm Loan Programs,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/index,fsa.usda.gov,Minority and Women Farmers and Ranchers loans support the full participation of minority and women family farmers in FSA's farm loan programs by targeting a portion of its direct and guaranteed farm ownership and operating loan funds for minority and women farmers to buy and operate a farm or ranch.,,Loans,,,,,,Christopher Alvares
Farm Service Agency (FSA),Farm Production and Conservation (FPAC),,Beginning Farmers and Ranchers loans,Farm Loan Programs,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/index,fsa.usda.gov,Beginning Farmers and Ranchers loans provide credit opportunities to eligible family farm and ranch operators and owners who have been in business less than 10 years.,,Loans,,,,,,Christopher Alvares
Farm Service Agency (FSA),Farm Production and Conservation (FPAC),,Native American Tribal Loans,Farm Loan Programs,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/index,fsa.usda.gov,Native American Tribal Loans are a valuable resource to help Tribes within the reservation to acquire land interests within tribal reservation or Alaskan community; advance and increase current farming operations; provide financial prospects for Native American communities; increase agricultural productivity; and save cultural farmland for future generations.,,Loans,,,,,,Christopher Alvares
Farm Service Agency (FSA),Farm Production and Conservation (FPAC),,Organic Certification Cost Share Program (OCCSP),Benefits & Financial Assistance Programs,https://www.fsa.usda.gov/programs-and-services/occsp/index,fsa.usda.gov,This program provides cost share assistance to producers and handlers of agricultural products who are obtaining or renewing their certification under the National Organic Program (NOP).,,Benefits & Financial Assistance,,,,,,Christopher Alvares
Farm Service Agency (FSA),Farm Production and Conservation (FPAC),,Non-Recourse Marketing Assistance Loan,Commodity Loans,https://www.fsa.usda.gov/programs-and-services/price-support/commodity-loans/index,fsa.usda.gov,Marketing assistance loans provide producers interim financing at harvest time to meet cash flow needs without having to sell their commodities when market prices are typically at harvest-time lows.,,Loans,,,,,,Christopher Alvares
Farm Service Agency (FSA),Farm Production and Conservation (FPAC),,Recourse Marketing Assistance Loan,Commodity Loans,https://www.fsa.usda.gov/programs-and-services/price-support/commodity-loans/index,fsa.usda.gov,Recourse loans must be repaid at principal plus interest. The recourse loan commodity cannot be delivered or forfeited in satisfaction of the outstanding loan.,,Loans,,,,,,Christopher Alvares
Farm Service Agency (FSA),Farm Production and Conservation (FPAC),,Biomass Crop Assistance Program,Farm Loan Programs,https://www.fsa.usda.gov/Assets/USDA-FSA-Public/usdafiles/FactSheets/2016/bcap_fact_sheet_nov2016.pdf,fsa.usda.gov,"BCAP provides funds to assist farmers and forester 
landowners with growing, maintaining and harvesting 
biomass that can be used for energy or biobased 
products",,Loans,"$3,000,000",,,,,
Food and Nutrition Service (FNS),"Food, Nutrition and Consumer Services",,Supplemental Nutrition Assistance Program (SNAP),Benefits & Financial Assistance Programs,https://www.fns.usda.gov/snap/supplemental-nutrition-assistance-program-snap,fns.usda.gov,"SNAP offers nutrition assistance to millions of eligible, low-income individuals and families and provides economic benefits to communities. SNAP is the largest program in the domestic hunger safety net. The Food and Nutrition Service works with State agencies, nutrition educators, and neighborhood and faith-based organizations to ensure that those eligible for nutrition assistance can make informed decisions about applying for the program and can access benefits. FNS also works with State partners and the retail community to improve program administration and ensure program integrity.",,Benefits & Financial Assistance,"$73,613,000,000",,,,,Erik Bethke
Food and Nutrition Service (FNS),"Food, Nutrition and Consumer Services",,SNAP QCS,Benefits & Financial Assistance Programs,https://snapqcs.fns.usda.gov/,snapqcs.fns.usda.gov,"The objectives of QC reviews are to provide:    A systematic method of  measuring the accuracy/validity of the SNAP caseloads    A basis for determining error rates    A timely, continuous fl ow of information on which to base corrective action at all levels of administration; and   A basis for establishing State agency eligi bility for bonus awardsor State agency liability for excessive error rates ",,Benefits & Financial Assistance,,,,,,Erik Bethke
Food and Nutrition Service (FNS),"Food, Nutrition and Consumer Services",,STARS (Store Tracking and Redemption System),Benefits & Financial Assistance Programs,https://www.eauth.usda.gov/Login/login.aspx?ZONE=Z2&TRYIWA=TRUE&TYPE=33554433&REALMOID=06-798c9a3b-2f82-430d-a46f-4fb2b3676150&GUID=&SMAUTHREASON=0&METHOD=GET&SMAGENTNAME=-SM-bVxSCQLg6u%2f0vAVg2E%2bWyEzqs5qIgIFNGIZ80bNhr6mS0ems%2bpsRmpJ%2f%2bOoGGL2h6O%2fnBdlXYrC0SqjBSReqGSR0nw%2bdS%2f%2f0%2bCgLwYMS055QSVDwo%2fvWz8CySpHXkpzO&TARGET=-SM-https%3a%2f%2fstars%2efns%2eusda%2egov%2fosaweb%2fosa%2eng,eauth.usda.gov,The modernized STARS provides primary automated support for the SNAP benefit redemption functions.,,Benefits & Financial Assistance,,,,,,Erik Bethke
Food and Nutrition Service (FNS),"Food, Nutrition and Consumer Services",,Commodity Supplemental Food Program,Benefits & Financial Assistance Programs,https://www.fns.usda.gov/csfp/commodity-supplemental-food-program-csfp,fns.usda.gov,"The Commodity Supplemental Food Program (CSFP) works to improve the health of low-income elderly persons at least 60 years of age by supplementing their diets with nutritious USDA Foods. Women, infants, and children who were certified and receiving CSFP benefits as of February 6, 2014 can continue to receive assistance until they are no longer eligible under the program rules in effect on February 6, 2014. Through CSFP, USDA distributes both food and administrative funds to participating States and Indian Tribal Organizations.",,Benefits & Financial Assistance,"$238,000,000",,,,,Erik Bethke
Food and Nutrition Service (FNS),"Food, Nutrition and Consumer Services",,Food Distribution Program on Indian Reservations,Benefits & Financial Assistance Programs,https://www.fns.usda.gov/fdpir/food-distribution-program-indian-reservations-fdpir,fns.usda.gov,"The Food Distribution Program on Indian Reservations (FDPIR) is a Federal program that provides USDA foods to low-income households, including the elderly, living on Indian reservations, and to Native American families residing in designated areas near reservations and in the State of Oklahoma.",,Benefits & Financial Assistance,"$153,000,000",,,,,Erik Bethke
Food and Nutrition Service (FNS),"Food, Nutrition and Consumer Services",,The Emergency Food Assistance Program (TEFAP),Benefits & Financial Assistance Programs,https://www.fns.usda.gov/tefap/emergency-food-assistance-program-tefap,fns.usda.gov,"The Emergency Food Assistance Program (TEFAP) is a Federal program that helps supplement the diets of low-income Americans, including elderly people, by providing them with emergency food and nutrition assistance at no cost. It provides food and administrative funds to States to supplement the diets of these groups.",,Benefits & Financial Assistance,"$54,000,000",,,,,Erik Bethke
Food and Nutrition Service (FNS),"Food, Nutrition and Consumer Services",,USDA Food in Schools,Benefits & Financial Assistance Programs,https://www.fns.usda.gov/fdd/schoolscn-usda-foods-programs,fns.usda.gov,"The USDA Foods in Schools program supports domestic nutrition programs and American agricultural producers through purchases of 100% American-grown and -produced foods for use by schools and institutions participating in the following nutrition programs:

    National School Lunch Program (NSLP)
    Child and Adult Care Food Program (CACFP)
    Summer Food Service Program (SFSP)",,Benefits & Financial Assistance,,,,,,Erik Bethke
Food and Nutrition Service (FNS),"Food, Nutrition and Consumer Services",,Child and Adult Care Food Programs,Benefits & Financial Assistance Programs,https://www.fns.usda.gov/cacfp/child-and-adult-care-food-program,fns.usda.gov,"CACFP provides aid to child and adult care institutions and family or group day care homes for the provision of nutritious foods that contribute to the wellness, healthy growth, and development of young children, and the health and wellness of older adults and chronically impaired disabled persons.",,Benefits & Financial Assistance,,,,,,Erik Bethke
Food and Nutrition Service (FNS),"Food, Nutrition and Consumer Services",,National School Lunch Program (NSLP),Benefits & Financial Assistance Programs,https://www.fns.usda.gov/nslp/national-school-lunch-program-nslp,fns.usda.gov,"The National School Lunch Program is a federally assisted meal program operating in public and nonprofit private schools and residential child care institutions. It provides nutritionally balanced, low-cost or free lunches to children each school day. The program was established under the National School Lunch Act, signed by President Harry Truman in 1946.",,Benefits & Financial Assistance,,,,,,Erik Bethke
Food and Nutrition Service (FNS),"Food, Nutrition and Consumer Services",,Fresh Fruit and Vegetable Program,Benefits & Financial Assistance Programs,https://www.fns.usda.gov/ffvp/fresh-fruit-and-vegetable-program,fns.usda.gov,"FFVP is an important tool in our efforts to combat childhood obesity. The Program has been successful in introducing school children to a variety of produce that they otherwise might not have the opportunity to sample. The various partnerships that FNS and state agencies have developed in the public and private sectors, as well as the dedicated work of school administrators, have contributed to the overall success and acceptance of the program. FFVP is consistent with the and supports the Health and Medicine Division (HMD) of the National Academies of Sciences, Engineering, and Medicine’s recommendations to provide healthier snack choices in schools.",,Benefits & Financial Assistance,,,,,,Erik Bethke
Food and Nutrition Service (FNS),"Food, Nutrition and Consumer Services",,School Breakfast Program,Benefits & Financial Assistance Programs,https://www.fns.usda.gov/sbp/school-breakfast-program-sbp,fns.usda.gov,"The School Breakfast Program provides cash assistance to states to operate nonprofit breakfast programs in schools and residential childcare institutions. The Food and Nutrition service administers the SBP at the Federal level. State education agencies administer the SBP at the state level, and local school food authorities operate the Program in schools.",,Benefits & Financial Assistance,,,,,,Erik Bethke
Food and Nutrition Service (FNS),"Food, Nutrition and Consumer Services",,Special Milk Program,Benefits & Financial Assistance Programs,https://www.fns.usda.gov/smp/special-milk-program,fns.usda.gov,"The Special Milk Program provides milk to children in schools and 
childcare institutions who do not participate in other Federal meal 
service programs. The program reimburses schools for the milk they 
serve.
Schools in the National School Lunch or School Breakfast 
Programs may also participate in the Special Milk Program to provide 
milk to children in half-day pre-kindergarten and kindergarten programs 
where children do not have access to the school meal programs.",,Benefits & Financial Assistance,,,,,,Erik Bethke
Food and Nutrition Service (FNS),"Food, Nutrition and Consumer Services",,Summer Food Service Program,Benefits & Financial Assistance Programs,https://www.fns.usda.gov/sfsp/summer-food-service-program,fns.usda.gov,"The Summer Food Service Program (SFSP) ensures that low-income children continue to receive nutritious meals when school is not in session. This summer, USDA plans to serve more than 200 million free meals to children 18 years and under at approved SFSP sites.",,Benefits & Financial Assistance,,,,,,Erik Bethke
Food and Nutrition Service (FNS),"Food, Nutrition and Consumer Services",,Farmers' Market Nutrition Program,Benefits & Financial Assistance Programs,https://www.fns.usda.gov/fmnp/wic-farmers-market-nutrition-program-fmnp,fns.usda.gov,"The WIC Farmers’ Market Nutrition Program (FMNP) is associated with the Special Supplemental Nutrition Program for Women, Infants and Children, popularly known as WIC. The WIC Program provides supplemental foods, health care referrals and nutrition education at no cost to low-income pregnant, breastfeeding and non-breastfeeding post-partum women, and to infants and children up to 5 years of age, who are found to be at nutritional risk.

The  WIC FMNP was established by Congress in 1992, to provide fresh, unprepared, locally grown fruits and vegetables to WIC participants, and to expand the awareness, use of, and sales at farmers’ markets. Women, infants (over 4 months old) and children that have been certified to receive WIC program benefits or who are on a waiting list for WIC certification are eligible to participate in the WIC FMNP. State agencies may serve some or all of these categories.  A variety of fresh, nutritious, unprepared, locally grown fruits, vegetables and herbs may be purchased with FMNP coupons. State agencies can limit sales to specific foods grown within State borders to encourage FMNP recipients to support the farmers in their own States.",,Benefits & Financial Assistance,$0,,,,,Erik Bethke
Food and Nutrition Service (FNS),"Food, Nutrition and Consumer Services",,Senior Farmers' Market Nutrition Program,Benefits & Financial Assistance Programs,https://www.fns.usda.gov/sfmnp/senior-farmers-market-nutrition-program-sfmnp,fns.usda.gov,"The Senior Farmers' Market Nutrition Program (SFMNP) awards grants to States, U.S. Territories, and federally recognized Indian tribal governments to provide low-income seniors with coupons that can be exchanged for eligible foods (fruits, vegetables, honey, and fresh-cut herbs) at farmers' markets, roadside stands, and community-supported agriculture programs.",,Benefits & Financial Assistance,"$21,000,000",,,,,Erik Bethke
Food and Nutrition Service (FNS),"Food, Nutrition and Consumer Services",,Center for Nutrition Policy and Promotion (CNPP),Education Programs,https://www.cnpp.usda.gov/,cnpp.usda.gov,The USDA Center for Nutrition Policy and Promotion works to improve the health and well-being of Americans by developing and promoting dietary guidance that links scientific research to the nutrition needs of consumers.,,Education,,,,,,Erik Bethke
Foreign Agricultural Service (FAS),Trade and Foreign Agricultural Affairs,,Bill Emerson Humanitarian Trust,Grant Programs,https://www.fas.usda.gov/programs/bill-emerson-humanitarian-trust,fas.usda.gov,"The Bill Emerson Humanitarian Trust makes funds available to provide emergency humanitarian food assistance to developing countries. When a food crisis arises and food aid is not available from other U.S. government programs, the Secretary of Agriculture may authorize the release of funds from the trust in order to quickly meet immediate needs. Cash in the trust provides the U.S. government with the flexibility to purchase appropriate U.S. commodities based on availability and specific needs.",,Grants,$0,,,,,Erik Bethke
Foreign Agricultural Service (FAS),Trade and Foreign Agricultural Affairs,,Borlaug Fellowship Program,Fellowship Program,https://www.fas.usda.gov/programs/borlaug-fellowship-program,fas.usda.gov,The Borlaug International Agricultural Science and Technology Fellowship Program promotes food security and economic growth by providing training and collaborative research opportunities to fellows from developing and middle-income countries.,,Education,,,,,,Erik Bethke
Foreign Agricultural Service (FAS),Trade and Foreign Agricultural Affairs,,Cochran Fellowship Program,Fellowship Program,https://www.fas.usda.gov/programs/cochran-fellowship-program,fas.usda.gov,"The Cochran Fellowship Program provides short-term training opportunities to agricultural professionals from middle-income countries, emerging markets, and emerging democracies. The goals are:
to help eligible countries develop agricultural systems necessary to meet the food and fiber needs of their domestic populations; and
to strengthen and enhance trade linkages between eligible countries and agricultural interests in the United States.",,Education,,,,,,Erik Bethke
Foreign Agricultural Service (FAS),Trade and Foreign Agricultural Affairs,,Dairy Import Licensing Program,Regulatory Programs,https://www.fas.usda.gov/programs/dairy-import-licensing-program,fas.usda.gov,"Import licensing is one of the tools USDA uses to administer the tariff-rate quota (TRQ) system for U.S. imports of dairy products. For dairy products subject to TRQs, a license from FAS is generally required to import items at the low-tier tariff rate. Individuals must apply annually for a license between Sept. 1 and Oct. 15. ",,Regulatory,,,,,,Erik Bethke
Foreign Agricultural Service (FAS),Trade and Foreign Agricultural Affairs,,Embassy Science Fellows Program,Fellowship Program,https://www.fas.usda.gov/programs/embassy-science-fellows-program,fas.usda.gov,"The Embassy Science Fellows Program places USDA scientists at American embassies overseas to provide expertise, advice, and assistance with issues relating to the environment, science, technology, and health. Since the program’s inception in 2002, FAS has sponsored more than 40 fellows in 25 countries to work in areas of strategic importance to USDA, including trade capacity building, biotechnology, food safety, animal health, and sanitary/phytosanitary issues.",,Education,,,,,,Erik Bethke
Foreign Agricultural Service (FAS),Trade and Foreign Agricultural Affairs,,Emerging Markets Program,Grant Programs,https://www.fas.usda.gov/programs/emerging-markets-program-emp,fas.usda.gov,The Emerging Markets Program (EMP) helps U.S. organizations promote exports of U.S. agricultural products to countries that have -- or are developing -- market-oriented economies and that have the potential to be viable commercial markets.,,Grants,,,,,,Erik Bethke
Foreign Agricultural Service (FAS),Trade and Foreign Agricultural Affairs,,Export Credit Guarantee Program,Benefits & Financial Assistance Programs,https://www.fas.usda.gov/programs/export-credit-guarantee-program-gsm-102,fas.usda.gov,"The GSM-102 program provides credit guarantees to encourage financing of commercial exports of U.S. agricultural products. By reducing financial risk to lenders, credit guarantees encourage exports to buyers in countries — mainly developing countries — that have sufficient financial strength to have foreign exchange available for scheduled payments.",,Benefits & Financial Assistance,,,,,,Erik Bethke
Foreign Agricultural Service (FAS),Trade and Foreign Agricultural Affairs,,Export Sales Reporting Program,Regulatory Programs,https://www.fas.usda.gov/programs/export-sales-reporting-program,fas.usda.gov,"The Export Sales Reporting Program monitors U.S. agricultural export sales on a daily and weekly basis.
The program requires U.S. exporters to report sales of certain commodities to FAS each week. Commodities currently covered by the program are wheat, wheat products, barley, corn, grain sorghum, oats, rye, rice, soybeans, soybean cake and meal, soybean oil, cotton, cottonseed, cottonseed cake and meal, cottonseed oil, sunflowerseed oil, flaxseed, linseed oil, cattle hides and skins, beef and pork. FAS publishes a weekly summary of export sales activity every Thursday at 8:30 a.m. Eastern time, unless a change is announced.",,Regulatory,,,,,,Erik Bethke
Foreign Agricultural Service (FAS),Trade and Foreign Agricultural Affairs,,Facility Guarantee Program,Benefits & Financial Assistance Programs,https://www.fas.usda.gov/programs/facility-guarantee-program,fas.usda.gov,"The Facility Guarantee Program is designed to boost sales of U.S. agricultural products in countries where demand may be limited due to inadequate storage, processing, handling, or distribution capabilities. The program provides credit guarantees to facilitate the financing of manufactured goods and U.S. services to improve or establish agriculture-related facilities in emerging markets.",,Benefits & Financial Assistance,,,,,,Erik Bethke
Foreign Agricultural Service (FAS),Trade and Foreign Agricultural Affairs,,Faculty Exchange Program,Education Programs,https://www.fas.usda.gov/programs/faculty-exchange-program,fas.usda.gov,"The Faculty Exchange Program enhances the teaching ability of agricultural educators from institutions of higher learning in developing countries. Participants come to the United States for one academic semester (4-5 months) to acquire new knowledge and enhance their ability to teach and build curricula at the university level. Since 1995, the program has provided training opportunities for 377 agricultural educators from 19 countries. Program alumni play an integral role in training the next generation of scientists and policymakers to better understand the global agricultural marketplace and support science-based trade policies.",,Education,,,,,,Erik Bethke
Foreign Agricultural Service (FAS),Trade and Foreign Agricultural Affairs,,Food for Progress,Emphasis Area Programs,https://www.fas.usda.gov/programs/food-progress,fas.usda.gov,"The Food for Progress Program helps developing countries and emerging democracies modernize and strengthen their agricultural sectors. U.S. agricultural commodities donated to recipient countries are sold on the local market and the proceeds are used to support agricultural, economic or infrastructure development programs.",,Emphasis Area,"$166,000,000",,,,,Erik Bethke
Foreign Agricultural Service (FAS),Trade and Foreign Agricultural Affairs,,Foreign Market Development Program,Emphasis Area Programs,https://www.fas.usda.gov/programs/foreign-market-development-program-fmd,fas.usda.gov,"The Foreign Market Development (FMD) Program, also known as the Cooperator Program, helps create, expand and maintain long-term export markets for U.S. agricultural products. Under the program,  FAS partners with U.S. agricultural producers and processors, who are represented by non-profit commodity or trade associations called “cooperators,” to promote U.S. commodities overseas.",,Emphasis Area,"$34,000,000",,,,,Erik Bethke
Foreign Agricultural Service (FAS),Trade and Foreign Agricultural Affairs,,Local and Regional Food Aid Procurement,Procurement Programs,https://www.fas.usda.gov/programs/local-and-regional-food-aid-procurement,fas.usda.gov,"Through the Local and Regional Food Aid Procurement (LRP) Program, FAS is authorized to partner with private voluntary organizations, cooperatives, and the World Food Program to implement field-based projects that provide development assistance and emergency relief using locally procured commodities.",,Procurement,,,,,,Erik Bethke
Foreign Agricultural Service (FAS),Trade and Foreign Agricultural Affairs,,Market Access Program,Emphasis Area Programs,https://www.fas.usda.gov/programs/market-access-program-map,fas.usda.gov,"Through the Market Access Program (MAP), FAS partners with U.S. agricultural trade associations, cooperatives, state regional trade groups and small businesses to share the costs of overseas marketing and promotional activities that help build commercial export markets for U.S. agricultural products and commodities.",,Emphasis Area,"$199,000,000",,,,,Erik Bethke
Foreign Agricultural Service (FAS),Trade and Foreign Agricultural Affairs,,McGovern-Dole Food for Education Program,Education Programs,https://www.fas.usda.gov/programs/mcgovern-dole-food-education-program,fas.usda.gov,"The McGovern–Dole International Food for Education and Child Nutrition Program helps support education, child development and food security in low-income, food-deficit countries around the globe. The program provides for the donation of U.S. agricultural commodities, as well as financial and technical assistance, to support school feeding and maternal and child nutrition projects. ",,Education,$0,,,,,Erik Bethke
Foreign Agricultural Service (FAS),Trade and Foreign Agricultural Affairs,,Pima Agriculture Cotton Trust Fund,Grant Programs,https://www.fas.usda.gov/programs/pima-agriculture-cotton-trust-fund,fas.usda.gov,The Pima Agriculture Cotton Trust Fund was authorized under Section 12314 of the Agricultural Act of 2014 (the 2014 Farm Bill) to reduce the economic injury to domestic manufacturers resulting from tariffs on cotton fabric that are higher than tariffs on certain apparel articles made of cotton fabric. ,,Grants,"$16,000,000",,,,,Erik Bethke
Foreign Agricultural Service (FAS),Trade and Foreign Agricultural Affairs,,Quality Samples Program,Emphasis Area Programs,https://www.fas.usda.gov/programs/quality-samples-program-qsp,fas.usda.gov,"The QSP enables potential customers around the world to discover the quality and benefits of U.S. agricultural products. The program focuses on processors and manufacturers rather than consumers, and QSP projects should benefit an entire industry or commodity rather than a specific company or product. Projects should focus on developing a new market or promoting a new use for the U.S. product.",,Emphasis Area,"$3,000,000",,,,,Erik Bethke
Foreign Agricultural Service (FAS),Trade and Foreign Agricultural Affairs,,Scientific Cooperation Research Program,Research Programs,https://www.fas.usda.gov/programs/scientific-cooperation-exchange-program,fas.usda.gov,"The Scientific Cooperation Exchange Program supports collaborative relationships between teams of scientific and technical experts from the United States and the People’s Republic of China. Since 1979, the program has facilitated exchanges for more than 3,000 participants on topics including food safety and security, animal and plant health, and agricultural biotechnology and emerging technologies. The program helps to promote U.S. agricultural priorities, encourage long-term cooperation in agricultural science and technology, create a positive atmosphere for agricultural trade, and enhance overall relations between the United States and China. By helping U.S. and Chinese companies understand each others' products and needs, the program provides an avenue through which U.S. agricultural exports can play a role in the burgeoning Chinese economy.",,Research,,,,,,Erik Bethke
Foreign Agricultural Service (FAS),Trade and Foreign Agricultural Affairs,,Sugar Import Program,Regulatory Programs,https://www.fas.usda.gov/programs/sugar-import-program,fas.usda.gov,"Imports of sugar into the United States are governed by tariff-rate quotas (TRQs), which allow a certain quantity of sugar to enter the country under a low tariff. TRQs apply to imports of raw cane sugar, refined sugar, sugar syrups, specialty sugars and sugar-containing products. Import restrictions are intended to meet U.S. commitments under the North American Free Trade Agreement (NAFTA) and the Uruguay Round Agreement on Agriculture (which resulted in the creation of the World Trade Organization).",,Regulatory,,,,,,Erik Bethke
Foreign Agricultural Service (FAS),Trade and Foreign Agricultural Affairs,,Technical Assistance for Specialty Crops,Grant Programs,https://www.fas.usda.gov/programs/technical-assistance-specialty-crops-tasc,fas.usda.gov,"The Technical Assistance for Specialty Crops (TASC) program provides funding to U.S. organizations for projects that address sanitary, phytosanitary and technical barriers that prohibit or threaten the export of U.S. specialty crops. Eligible activities include seminars and workshops, study tours, field surveys, pest and disease research, and pre-clearance programs. Eligible crops include all cultivated plants and their products produced in the United States except wheat, feed grains, oilseeds, cotton, rice, peanuts, sugar and tobacco.",,Grants,"$9,000,000",,,,,Erik Bethke
Foreign Agricultural Service (FAS),Trade and Foreign Agricultural Affairs,,Wool Apparel Manufacturers Trust Fund,Grant Programs,https://www.fas.usda.gov/programs/wool-apparel-manufacturers-trust-fund,fas.usda.gov,The Agriculture Wool Apparel Manufacturers Trust Fund was authorized under Section 12315 of the Agricultural Act of 2014 (the 2014 Farm Bill) to reduce the economic injury to domestic manufacturers resulting from tariffs on wool fabric that are higher than tariffs on certain apparel articles made of wool fabric. The Agriculture Wool Trust is a mechanism for four types of annual payments:,,Grants,"$30,000,000",,,,,Erik Bethke
Forest Service (FS),Natural Resources and Environment,Cooperate Forestry National Programs,Forest Stewardship Program,Education Programs,https://www.fs.fed.us/managing-land/forest-stewardship/program,fs.fed.us,"The Forest Stewardship Program (FSP) - serves as the primary private forest landowner assistance program in the U.S. The program seeks to conserve, protect and enhance private forest landscapes by connecting individual and family woodland owners with the information, technical assistance, and professional planning they need to achieve their stewardship goals. Assistance offered through the Forest Stewardship Program provides landowners with enhanced access to other USDA conservation programs, forest certification programs, and forest product markets. The program also sustains the public benefits derived from forested landscapes including clean water and wildlife habitat.",,Education,"$20,500,000",,,Yes: https://www.fs.fed.us/spf/coop/programs/,,Erik Bethke
Forest Service (FS),Natural Resources and Environment,Cooperate Forestry National Programs,Forest Legacy Program (FLP),Conservation Programs,https://www.fs.fed.us/managing-land/private-land/forest-legacy,fs.fed.us,"The Forest Legacy Program (FLP) is a conservation program 
administered by the U.S. Forest Service in partnership with State 
agencies to encourage the protection of privately owned forest lands 
through conservation easements or land purchases. Protection of private 
forests through FLP maintains a multitude of public benefits including:
Opportunities to hunt, fish, and campClean and abundant drinking water,Habitat for fish and wildlife, andTimber, fuel wood, and other forest products.",,Conservation,,,,,,Erik Bethke
Forest Service (FS),Natural Resources and Environment,Cooperate Forestry National Programs,Community Forest Program,Grant Programs,https://www.fs.fed.us/managing-land/private-land/community-forest,fs.fed.us,"The Community Forest Program (CFP) is a competitive grant program that provides financial assistance to tribal entities, local governments, and qualified conservation non-profit organizations to acquire and establish community forests that provide community benefits. Community benefits include economic benefits through active forest management, clean water, wildlife habitat, educational opportunities, and public access for recreation.",,Grants,,,,,,Erik Bethke
Forest Service (FS),Natural Resources and Environment,Cooperate Forestry National Programs,Urban and Community Foresting Program (UCF),Conservation Programs,https://www.fs.fed.us/managing-land/urban-forests/ucf,fs.fed.us,"The Forest Service is a proud partner in restoring and sustaining America’s community forests. The Urban & Community Forestry (UCF) Program supports forest health for all of our Nation’s forests, creates jobs, contributes to vibrant regional wood economies, enhances community resilience and preserves the unique sense of place in cities and towns of all sizes. By working with our state partners to deliver information, tools and financial resources, the program supports fact-based and data-driven best practices in communities, maintaining, restoring, and improving the more than 140 million acres of community forest land across the United States. Learn more about how the UCF program supports a thriving America (PDF).",,Conservation,,,,,,Erik Bethke
